gene_id,THPKOHS_S2,THPKOHS_S3,THPKOHS_S4,THPKONS_S10,THPKONS_S8,THPKONS_S9,THPWtHS_S1,THPWtHS_S11,THPWtHS_S12,THPWtNS_S5,THPWtNS_S6,THPWtNS_S7
ENSMUSG00000028180,663,1180,802,1299,507,922,893,848,1247,829,669,716
ENSMUSG00000028182,106,149,100,58,57,59,87,117,83,112,115,86
ENSMUSG00000028184,691,1162,1057,869,667,801,1122,1151,1088,1241,1133,1140
ENSMUSG00000028187,489,630,599,609,537,559,586,624,564,658,597,554
ENSMUSG00000028186,2,186,48,14,36,9,57,0,4,3,0,0
ENSMUSG00000028189,1347,1773,1596,1119,790,953,1454,1894,1515,1474,1611,1395
ENSMUSG00000028188,66,76,54,38,25,46,66,58,30,48,51,56
ENSMUSG00000035429,11,6,3,2,2,13,10,3,1,23,5,6
ENSMUSG00000070074,0,0,0,1,1,0,1,0,0,0,0,0
ENSMUSG00000020755,674,830,656,552,669,663,796,862,676,732,690,687
ENSMUSG00000020752,541,685,494,381,381,417,598,642,556,674,575,552
ENSMUSG00000020758,254,270,233,251,324,279,268,237,154,311,228,226
ENSMUSG00000069833,2765,3009,2610,3787,6041,3385,2680,2385,2366,2762,2180,2202
ENSMUSG00000028238,533,754,627,726,727,852,718,695,697,856,769,682
ENSMUSG00000033862,365,509,388,384,345,347,380,463,380,617,470,443
ENSMUSG00000033863,5189,6997,6405,12983,7623,5555,5862,7520,7565,7588,7659,6696
ENSMUSG00000033860,76,258,161,77,108,78,139,96,80,62,59,41
ENSMUSG00000069835,450,517,503,360,284,461,563,521,441,485,477,404
ENSMUSG00000028233,365,427,437,463,456,384,480,416,400,531,416,414
ENSMUSG00000028232,257,347,292,231,260,197,310,322,337,353,281,261
ENSMUSG00000028234,3224,3754,3651,3486,3570,3529,3568,3884,3554,1989,3386,3148
ENSMUSG00000114970,2,0,0,0,1,1,1,0,1,0,0,0
ENSMUSG00000044534,7,4,7,9,10,6,6,6,10,4,3,3
ENSMUSG00000068122,0,0,0,2,0,0,0,0,0,0,0,0
ENSMUSG00000068120,637,834,682,656,643,653,746,828,682,818,755,674
ENSMUSG00000075162,10,7,6,2,5,6,9,11,6,6,18,3
ENSMUSG00000108431,48,70,62,44,37,55,77,61,73,41,54,65
ENSMUSG00000018209,856,849,1001,1039,919,945,1158,1082,1082,1202,952,951
ENSMUSG00000044288,8,0,5,0,0,0,7,0,5,5,3,0
ENSMUSG00000083761,18,16,16,15,15,13,23,23,15,19,13,13
ENSMUSG00000044285,6125,8501,7206,8913,6324,7230,7584,7927,6614,8463,7772,7618
ENSMUSG00000006958,216,327,255,261,235,237,244,335,193,262,243,197
ENSMUSG00000087574,119,138,137,197,122,86,187,136,134,150,83,56
ENSMUSG00000087579,3,11,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000087578,25,43,28,24,29,31,58,33,32,41,38,35
ENSMUSG00000058569,1458,2139,1660,1690,1784,1831,1684,1680,1566,1960,1927,1846
ENSMUSG00000058567,0,1,0,2,1,3,0,1,1,0,0,2
ENSMUSG00000021583,982,1207,1045,910,799,834,1132,1106,942,1002,973,808
ENSMUSG00000039813,211,202,199,160,224,214,209,179,174,274,167,161
ENSMUSG00000116538,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000021585,1067,1338,1335,1054,1064,1041,1213,1316,1116,1375,998,1110
ENSMUSG00000116536,0,0,0,0,0,0,1,0,0,0,0,1
