"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000005413",1924.23040243868,-3.54478433298797,0.196949508700763,-17.99844212038,2.00376371871307e-72,3.61499012493025e-68
"ENSMUSG00000024827",3431.34906234798,-2.30564594578522,0.138173875042464,-16.6865548576143,1.64175349208393e-62,1.48094373753431e-58
"ENSMUSG00000024966",2680.59533497295,-1.67207079493599,0.124868904682878,-13.3906099295292,6.86149483617552e-41,4.12627427798142e-37
"ENSMUSG00000082896",1030.42052467596,-2.65899346785517,0.202687677351684,-13.118673530614,2.57400870620781e-39,1.16094227671738e-35
"ENSMUSG00000029657",8465.81159018354,-3.24525856270022,0.247811128401856,-13.0956934163087,3.48477148638345e-39,1.25737524771687e-35
"ENSMUSG00000021037",1980.17994575831,-1.4375712618494,0.110666452159509,-12.9901269426922,1.39195991042713e-38,4.18539145733598e-35
"ENSMUSG00000023944",31980.0506106671,-1.65197217760611,0.128134854021704,-12.8924498351268,4.96414247326172e-38,1.27940134800164e-34
"ENSMUSG00000004951",817.783079273106,-4.04994887394337,0.32149739943538,-12.5971434949582,2.18930566914532e-36,4.93715794713135e-33
"ENSMUSG00000048572",4066.12217617563,-2.68423302180403,0.215488518540092,-12.4565013486072,1.28902639248379e-35,2.58392501631112e-32
"ENSMUSG00000028862",147.909318153798,-2.46246868260594,0.201030572569264,-12.2492248374685,1.69609308262705e-34,3.05992153036746e-31
"ENSMUSG00000019916",1769.43102372611,-2.01659103299039,0.171482956800619,-11.7597169457199,6.29449588883957e-32,1.03235454845959e-28
"ENSMUSG00000018906",665.109812112731,-1.18749582190046,0.106977752993127,-11.1003997436435,1.24884069811629e-28,1.87752791955966e-25
"ENSMUSG00000023272",1079.86559731687,-2.25871142797016,0.207763736307196,-10.8715383546552,1.57522140301356e-27,2.18604379475135e-24
"ENSMUSG00000001774",1617.73239990521,-1.78487236160807,0.169703410719556,-10.5175986389435,7.16771098492477e-26,9.2366195627877e-23
"ENSMUSG00000020288",931.552815339452,-2.09910847494719,0.20050956461383,-10.4688695473952,1.20068248710346e-25,1.35384454686459e-22
"ENSMUSG00000022769",354.763943387251,-2.84834167835715,0.271948018331462,-10.473846052761,1.13918422554117e-25,1.35384454686459e-22
"ENSMUSG00000030357",5727.4461374698,-0.842146853530848,0.0818242968828001,-10.2921367566053,7.64604854855279e-25,8.11425658026123e-22
"ENSMUSG00000100615",131.095112714633,-2.656960572217,0.258939263733865,-10.2609412489401,1.05671644576647e-24,1.05912341100405e-21
"ENSMUSG00000078915",145.451350454187,-3.92460199157755,0.383810636929103,-10.2253601488968,1.52659439048376e-24,1.44954154730092e-21
