"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000030963",48230.2362767333,-3.99071816333902,0.102965820444608,-38.7576979050624,0,0
"ENSMUSG00000093769",63.722470158279,-3.7767630513826,0.618715356942474,-6.10420124376151,1.0331604489905e-09,9.8749475714512e-06
"ENSMUSG00000112237",24.8123336992782,7.3441792504433,1.22418457213833,5.99924179538952,1.98240980299529e-09,1.2631915264686e-05
"ENSMUSG00000116048",546.009541721021,-24.2491088954525,4.24713043306983,-5.70952770996611,1.13290111735402e-08,5.41413443983486e-05
"ENSMUSG00000039652",1833.37859472495,1.25913422643417,0.232619778969241,5.41284250210155,6.20320488253134e-08,0.000206493066937737
"ENSMUSG00000078899",51.5942405591534,22.9604025103863,4.24800229252116,5.40498825784753,6.48126387124096e-08,0.000206493066937737
"ENSMUSG00000064357",255609.186285798,1.61315888353775,0.306515046955478,5.26290274999799,1.41798592660822e-07,0.000387231699614896
"ENSMUSG00000046959",5669.63010300709,0.988884026402063,0.202401568234265,4.88575278852336,1.03034413541725e-06,0.00218845094362624
"ENSMUSG00000024795",520.853073833904,-0.842860978569036,0.171728165151436,-4.90811147854385,9.19575826651409e-07,0.00218845094362624
"ENSMUSG00000056148",31.7770303704795,-20.622438782745,4.2484005829312,-4.85416532179188,1.20894851809637e-06,0.00231102598719302
"ENSMUSG00000073877",19.8346155786413,-7.2721092705218,1.50930221361581,-4.81819294036557,1.44864252372964e-06,0.00251747731669234
"ENSMUSG00000078901",15.7812264107798,-19.8942824586559,4.24967644038678,-4.68136403741016,2.84972371550228e-06,0.00453960987879513
"ENSMUSG00000054545",1429.68252890496,3.66125762713402,0.790894938552081,4.62925914513603,3.66976285529917e-06,0.00501079905299279
"ENSMUSG00000062991",128.611852711315,-1.17712084657803,0.253595505775691,-4.64172597608735,3.45510876896186e-06,0.00501079905299279
"ENSMUSG00000035382",849.507663177949,-0.46442806292313,0.101334517081103,-4.58311813487428,4.58093061522664e-06,0.00583793797604483
