"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000030963",48230.2362767333,-3.94112099824676,0.103119268549254,-38.2190550194248,0,0
"ENSMUSG00000005413",1924.23040243868,3.23390179278298,0.196309409671942,16.4734935436219,5.68880573524328e-61,4.67363835178911e-57
"ENSMUSG00000024827",3431.34906234798,1.7657364831952,0.137683762134601,12.8245804430373,1.19431316493045e-37,6.54125320432408e-34
"ENSMUSG00000023120",1699.03610532933,-1.61371524587434,0.129702586253198,-12.441658200432,1.55247142840448e-35,6.37716451002851e-32
"ENSMUSG00000041660",76.9688552792651,3.83471070457009,0.396892528928761,9.66183645461965,4.37941715789134e-22,1.43916406642625e-18
"ENSMUSG00000024803",69.6690149951584,2.88346618396382,0.312186540352641,9.23635650885749,2.55033690682506e-20,6.98409761934042e-17
"ENSMUSG00000098747",223.441153607782,-1.71390529139348,0.186478189476971,-9.19091554996642,3.89511799327611e-20,9.14295482107425e-17
"ENSMUSG00000004951",817.783079273106,2.82658264909225,0.317671481787326,8.89781680492361,5.6955927185988e-19,1.16980354949121e-15
"ENSMUSG00000036256",22779.4104195131,0.464040914905579,0.0531802593016109,8.72581143829666,2.64278724058721e-18,4.82484857223206e-15
"ENSMUSG00000070985",696.594430169583,1.48254234291361,0.171986647719321,8.62010140073835,6.6894847975423e-18,1.09914924708418e-14
"ENSMUSG00000020100",3308.02970590338,-1.07692811077022,0.126250624336117,-8.53008146639436,1.46244692441044e-17,2.184496855908e-14
"ENSMUSG00000029860",1309.11447752574,0.746215085056383,0.0887312251319289,8.40983637887206,4.10583078607306e-17,5.62190880383053e-14
"ENSMUSG00000028465",8181.91449083115,-0.431383083890138,0.0514346671907721,-8.38701030746696,4.98661293234161e-17,6.30269516086962e-14
"ENSMUSG00000037139",106.736489468095,-3.10654147959804,0.374437026953977,-8.29656592690518,1.07164061071792e-16,1.2577233481933e-13
"ENSMUSG00000022797",1830.29905326958,-1.4038825430761,0.170638199781527,-8.2272465653853,1.91565874505064e-16,2.09841258932847e-13
"ENSMUSG00000078915",145.451350454187,3.0210582174067,0.370392819889647,8.15636279965357,3.45264304423402e-16,3.54564861623807e-13
"ENSMUSG00000028712",6741.76467307313,0.482700778166668,0.0593815733822376,8.12879738062068,4.33570333339211e-16,4.19058479240975e-13
"ENSMUSG00000033653",1586.13008618376,-1.00281115647642,0.124000315203481,-8.08716618849586,6.10689152536632e-16,5.57457414740523e-13
"ENSMUSG00000024646",20234.4673343302,-0.654470943137824,0.0815332742726067,-8.027041094285,9.98516452368667e-16,8.63506517308925e-13
"ENSMUSG00000047583",1684.82521542341,-1.5379209257887,0.192580890515727,-7.98584387926643,1.39564227580412e-15,1.11381334030779e-12
"ENSMUSG00000029657",8465.81159018354,1.97574541028074,0.247481612425492,7.98340285129491,1.42353357351735e-15,1.11381334030779e-12
"ENSMUSG00000010755",628.74321650488,0.967577171040648,0.121938032694325,7.9349908282199,2.10510880674996e-15,1.57222921835039e-12
"ENSMUSG00000092274",37655.6076445179,0.996873423175733,0.126115977397526,7.90441816926587,2.6918794308328e-15,1.92305525773973e-12
"ENSMUSG00000078901",15.7812264107798,33.316899643834,4.24976287774545,7.83970790895256,4.51595659207204e-15,3.09173678184732e-12
"ENSMUSG00000024966",2680.59533497295,0.97274887192122,0.124199565543342,7.83214391826322,4.79620054614802e-15,3.15225484695032e-12
"ENSMUSG00000082896",1030.42052467596,1.56414669644858,0.200395124182439,7.8053131423726,5.93539844385633e-15,3.75094353196167e-12
"ENSMUSG00000061947",86.7265651138595,2.07432732684902,0.267869888094155,7.74378688701249,9.64987008014187e-15,5.87248204765967e-12
"ENSMUSG00000047746",1231.13942838609,-1.31882939203902,0.170633399220683,-7.72902255984101,1.08375469145154e-14,6.35970476258582e-12
"ENSMUSG00000024561",2443.31753134237,2.33907902259423,0.304494785299754,7.68183606261621,1.56824448299542e-14,8.8854569310682e-12
"ENSMUSG00000021765",247.554718786979,1.76792242735911,0.231180772333431,7.6473592916683,2.05148531555502e-14,1.12359850732948e-11
"ENSMUSG00000015501",503.070023387059,1.26296141468209,0.166692933104436,7.57657443036789,3.54798193103245e-14,1.88054487447723e-11
"ENSMUSG00000074892",1567.24260242196,-0.896230382494834,0.118540240123524,-7.56055818311926,4.0134330731581e-14,2.06077246328315e-11
"ENSMUSG00000010307",1155.79359343069,-1.32648956245262,0.175839258728352,-7.54376225221618,4.5660323916973e-14,2.27346903721147e-11
"ENSMUSG00000010095",3898.45498214279,0.836358451869804,0.11207612906805,7.46241379698244,8.49515940002656e-14,4.10541070887754e-11
"ENSMUSG00000029833",1010.8504906652,0.764891433438576,0.10318628845343,7.41272357890642,1.23731611822453e-13,5.80866889672779e-11
"ENSMUSG00000040659",639.907089889089,1.05126403617747,0.142927498670822,7.35522587293473,1.90604534740537e-13,8.6995086397827e-11
"ENSMUSG00000080950",172.541689504302,-1.3214808753344,0.180967606313115,-7.30230620969776,2.82876573090392e-13,1.25620134390493e-10
"ENSMUSG00000066357",936.469231460761,-0.973548458032993,0.133937083386018,-7.26869985086316,3.62963867846039e-13,1.56943666120481e-10
"ENSMUSG00000089714",53.0647124973967,8.82478985144634,1.21770188739405,7.24708563138708,4.25834763457357e-13,1.79407461496611e-10
"ENSMUSG00000026380",11397.8739674735,0.792737435079735,0.110527467980215,7.17231154903174,7.37418870253563e-13,3.02913236428407e-10
"ENSMUSG00000021752",694.685624269908,0.706989446561708,0.099502188873439,7.10526526668632,1.20091653267162e-12,4.81274623129936e-10
"ENSMUSG00000080845",244.78168618192,-1.55662682880435,0.219387727051958,-7.09532319661476,1.29049539991592e-12,5.04860236095677e-10
"ENSMUSG00000023944",31980.0506106671,0.90808074505737,0.128078140673956,7.09005252792542,1.3406110591656e-12,5.12269309608139e-10
"ENSMUSG00000021037",1980.17994575831,0.776409059335695,0.109770952829655,7.07299189194923,1.51628350387682e-12,5.66228505731819e-10
"ENSMUSG00000028862",147.909318153798,1.31019787945308,0.185435769933964,7.06550780315823,1.60029693044963e-12,5.84321752538173e-10
"ENSMUSG00000003316",6612.72456652281,-0.434560120716476,0.0617901420047574,-7.03283900339666,2.02372835852711e-12,7.22866970846932e-10
"ENSMUSG00000068196",130.800678873073,1.44969179342568,0.207415034564955,6.98932840845579,2.76205196332001e-12,9.45484912693982e-10
"ENSMUSG00000109432",93.6487962826456,-1.52809370471246,0.218620895769706,-6.98969647586725,2.75481574477487e-12,9.45484912693982e-10
"ENSMUSG00000022769",354.763943387251,1.86447115316007,0.266935101716632,6.98473576974271,2.85392594034078e-12,9.56997084198762e-10
"ENSMUSG00002075794",1660.19289593167,1.00198728944064,0.143756385356799,6.9700367531761,3.16858196875717e-12,1.04125940657298e-09
"ENSMUSG00000023272",1079.86559731687,1.42779786096357,0.206322861473531,6.92021160799354,4.50969498565662e-12,1.45148085958468e-09
"ENSMUSG00000019916",1769.43102372611,1.17956118371919,0.170515943413755,6.91760054868889,4.59357340992046e-12,1.45148085958468e-09
"ENSMUSG00000024042",3340.35193257996,1.00560095896446,0.146315866487807,6.87280869192855,6.29499636857679e-12,1.90325894383514e-09
"ENSMUSG00000020288",931.552815339452,1.368620244154,0.199084895470859,6.87455590700168,6.21832682055483e-12,1.90325894383514e-09
"ENSMUSG00000042410",8032.30531131266,-0.855181241715352,0.124460588497169,-6.87110073993268,6.37083816632785e-12,1.90325894383514e-09
"ENSMUSG00000068086",5752.51457189646,0.702830723238257,0.102712512623449,6.84269818045327,7.77152801204532e-12,2.28024958510565e-09
"ENSMUSG00000057425",4286.56882903392,-1.84148713773785,0.270299111119711,-6.81277541057943,9.57335394347602e-12,2.75964523939043e-09
"ENSMUSG00000023905",466.558091026954,2.09545742236343,0.308489189248377,6.79264458981183,1.10096379241076e-11,3.11895449536229e-09
